Standard;;;;;;;;;;;;
Squad;# Pl;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
Arsenal;24;33.0;59;478;159;33.3;14.48;4.82;0.12;0.35;4;4
Aston Villa;30;33.0;44;424;147;34.7;12.85;4.45;0.10;0.30;0;0
Bournemouth;26;33.0;50;456;155;34.0;13.82;4.70;0.10;0.30;4;5
Brentford;24;33.0;47;350;130;37.1;10.61;3.94;0.11;0.31;7;9
Brighton;28;34.0;47;436;156;35.8;12.82;4.59;0.10;0.28;3;5
Burnley;26;33.0;31;301;100;33.2;9.12;3.03;0.10;0.29;2;2
Chelsea;27;34.0;52;465;151;32.5;13.68;4.44;0.10;0.30;7;7
Crystal Palace;29;32.0;34;370;115;31.1;11.56;3.59;0.07;0.23;7;7
Everton;22;33.0;38;364;122;33.5;11.03;3.70;0.10;0.30;2;2
Fulham;24;33.0;39;410;118;28.8;12.42;3.58;0.09;0.30;4;4
Leeds United;24;33.0;42;418;132;31.6;12.67;4.00;0.09;0.28;5;7
Liverpool;24;33.0;52;518;151;29.2;15.70;4.58;0.10;0.34;1;2
Manchester City;27;32.0;62;476;170;35.7;14.87;5.31;0.12;0.35;3;4
Manchester Utd;27;33.0;55;515;187;36.3;15.61;5.67;0.10;0.27;4;6
Newcastle United;25;33.0;46;428;152;35.5;12.97;4.61;0.09;0.26;6;6
Nottingham Forest;31;33.0;36;417;131;31.4;12.64;3.97;0.08;0.26;2;2
Sunderland;29;33.0;33;329;111;33.7;9.97;3.36;0.09;0.26;4;5
Tottenham Hotspur;30;33.0;41;369;131;35.5;11.18;3.97;0.11;0.31;0;0
West Ham United;32;33.0;38;341;115;33.7;10.33;3.48;0.10;0.30;3;3
Wolves;30;33.0;23;306;106;34.6;9.27;3.21;0.07;0.20;2;4
